date;time;p_e;P_th synthetisch;P_th synthetisch [MWh];p_fuel [mw]
01.01.25;00:00:00;1,02;0;0;0
01.01.25;01:00:00;0,54;0;0;0
01.01.25;02:00:00;-0,74;0;0;0
01.01.25;03:00:00;-1,31;0;0;0
01.01.25;04:00:00;-3,26;0;0;0
01.01.25;05:00:00;-2,72;0;0;0
01.01.25;06:00:00;-2,8;0;0;0
01.01.25;07:00:00;-1,44;0;0;0
01.01.25;08:00:00;-5;0;0;0
01.01.25;09:00:00;-4,14;0;0;0
01.01.25;10:00:00;-5,36;0;0;0
01.01.25;11:00:00;-2,95;0;0;0
01.01.25;12:00:00;-2,57;0;0;0
01.01.25;13:00:00;-2,33;0;0;0
01.01.25;14:00:00;-2,76;0;0;0
01.01.25;15:00:00;-0,55;0;0;0
01.01.25;16:00:00;-0,26;0;0;0
01.01.25;17:00:00;2,04;0;0;0
01.01.25;18:00:00;4,84;0;0;0
01.01.25;19:00:00;4,86;0;0;0
01.01.25;20:00:00;4,78;0;0;0
01.01.25;21:00:00;1,84;0;0;0
01.01.25;22:00:00;6,86;0;0;0
01.01.25;23:00:00;4,04;0;0;0
02.01.25;00:00:00;5,9;0;0;0
02.01.25;01:00:00;5,23;0;0;0
02.01.25;02:00:00;13,02;0;0;0
02.01.25;03:00:00;16,36;0;0;0
02.01.25;04:00:00;17,73;0;0;0
02.01.25;05:00:00;38,94;0;0;0
02.01.25;06:00:00;68,52;0;0;0
02.01.25;07:00:00;103,45;119,8252773;0,119825277;0,277373326
02.01.25;08:00:00;119,82;197,893261;0,197893261;0,458086252
02.01.25;09:00:00;126,66;197,893261;0,197893261;0,458086252
02.01.25;10:00:00;123,88;197,893261;0,197893261;0,458086252
02.01.25;11:00:00;121,37;197,893261;0,197893261;0,458086252
02.01.25;12:00:00;117,18;197,893261;0,197893261;0,458086252
02.01.25;13:00:00;116,35;197,893261;0,197893261;0,458086252
02.01.25;14:00:00;121,24;197,893261;0,197893261;0,458086252
02.01.25;15:00:00;129,9;197,893261;0,197893261;0,458086252
02.01.25;16:00:00;136,24;197,893261;0,197893261;0,458086252
02.01.25;17:00:00;151,92;197,893261;0,197893261;0,458086252
02.01.25;18:00:00;151,73;197,893261;0,197893261;0,458086252
02.01.25;19:00:00;139,88;197,893261;0,197893261;0,458086252
02.01.25;20:00:00;129,99;197,893261;0,197893261;0,458086252
02.01.25;21:00:00;116,89;197,893261;0,197893261;0,458086252
02.01.25;22:00:00;112,21;197,893261;0,197893261;0,458086252
02.01.25;23:00:00;91,74;119,8252773;0,119825277;0,277373326
03.01.25;00:00:00;94,17;119,8252773;0,119825277;0,277373326
03.01.25;01:00:00;85,59;0;0;0
03.01.25;02:00:00;80,53;0;0;0
03.01.25;03:00:00;77,17;0;0;0
03.01.25;04:00:00;73,67;0;0;0
03.01.25;05:00:00;77,03;0;0;0
03.01.25;06:00:00;82,33;0;0;0
03.01.25;07:00:00;87,55;0;0;0
03.01.25;08:00:00;95,01;119,8252773;0,119825277;0,277373326
03.01.25;09:00:00;93,56;119,8252773;0,119825277;0,277373326
03.01.25;10:00:00;84,77;0;0;0
03.01.25;11:00:00;76,39;0;0;0
03.01.25;12:00:00;75,94;0;0;0
03.01.25;13:00:00;79,66;0;0;0
03.01.25;14:00:00;84,57;0;0;0
03.01.25;15:00:00;97,15;119,8252773;0,119825277;0,277373326
03.01.25;16:00:00;113,78;197,893261;0,197893261;0,458086252
03.01.25;17:00:00;126,63;197,893261;0,197893261;0,458086252
03.01.25;18:00:00;126,67;197,893261;0,197893261;0,458086252
03.01.25;19:00:00;121,52;197,893261;0,197893261;0,458086252
03.01.25;20:00:00;117,16;197,893261;0,197893261;0,458086252
03.01.25;21:00:00;109,98;197,893261;0,197893261;0,458086252
03.01.25;22:00:00;102,45;119,8252773;0,119825277;0,277373326
03.01.25;23:00:00;90,78;119,8252773;0,119825277;0,277373326
04.01.25;00:00:00;91,75;119,8252773;0,119825277;0,277373326
04.01.25;01:00:00;89,84;119,8252773;0,119825277;0,277373326
04.01.25;02:00:00;92,04;119,8252773;0,119825277;0,277373326
04.01.25;03:00:00;94,46;119,8252773;0,119825277;0,277373326
04.01.25;04:00:00;101,13;119,8252773;0,119825277;0,277373326
04.01.25;05:00:00;106,76;197,893261;0,197893261;0,458086252
04.01.25;06:00:00;114,48;197,893261;0,197893261;0,458086252
04.01.25;07:00:00;124,55;197,893261;0,197893261;0,458086252
04.01.25;08:00:00;132,82;197,893261;0,197893261;0,458086252
04.01.25;09:00:00;133,94;197,893261;0,197893261;0,458086252
04.01.25;10:00:00;132,5;197,893261;0,197893261;0,458086252
04.01.25;11:00:00;127,28;197,893261;0,197893261;0,458086252
04.01.25;12:00:00;126,12;197,893261;0,197893261;0,458086252
04.01.25;13:00:00;126,25;197,893261;0,197893261;0,458086252
04.01.25;14:00:00;132,71;197,893261;0,197893261;0,458086252
04.01.25;15:00:00;138,86;197,893261;0,197893261;0,458086252
04.01.25;16:00:00;143,1;197,893261;0,197893261;0,458086252
04.01.25;17:00:00;152,96;197,893261;0,197893261;0,458086252
04.01.25;18:00:00;147;197,893261;0,197893261;0,458086252
04.01.25;19:00:00;139,52;197,893261;0,197893261;0,458086252
04.01.25;20:00:00;131,25;197,893261;0,197893261;0,458086252
04.01.25;21:00:00;124,42;197,893261;0,197893261;0,458086252
04.01.25;22:00:00;119,84;197,893261;0,197893261;0,458086252
04.01.25;23:00:00;109,26;197,893261;0,197893261;0,458086252
05.01.25;00:00:00;106,42;197,893261;0,197893261;0,458086252
05.01.25;01:00:00;97,17;119,8252773;0,119825277;0,277373326
05.01.25;02:00:00;93,93;119,8252773;0,119825277;0,277373326
05.01.25;03:00:00;92,72;119,8252773;0,119825277;0,277373326
05.01.25;04:00:00;88,58;119,8252773;0,119825277;0,277373326
05.01.25;05:00:00;82,77;0;0;0
05.01.25;06:00:00;76,1;0;0;0
05.01.25;07:00:00;82,12;0;0;0
05.01.25;08:00:00;87,02;0;0;0
05.01.25;09:00:00;89,58;119,8252773;0,119825277;0,277373326
05.01.25;10:00:00;89,44;119,8252773;0,119825277;0,277373326
05.01.25;11:00:00;93,04;119,8252773;0,119825277;0,277373326
05.01.25;12:00:00;89,62;119,8252773;0,119825277;0,277373326
05.01.25;13:00:00;86,69;0;0;0
05.01.25;14:00:00;67;0;0;0
05.01.25;15:00:00;58,32;0;0;0
05.01.25;16:00:00;56,86;0;0;0
05.01.25;17:00:00;64,15;0;0;0
